symbol,class
APP,early_onset
PSEN1,early_onset
PSEN2,early_onset
ADAM10,early_onset
APOE,late_onset
CD33,late_onset
BIN1,late_onset
CLU-PTK2B region,late_onset
ABCA7,late_onset
CR1,late_onset
PICALM,late_onset
MS4A6A,late_onset
MS4A4E,late_onset
CD2AP,late_onset
ATXN1,late_onset
HLA-DRB5/DRB1 region,late_onset
SORL1,late_onset
DPYSL2,late_onset
SLC24A4/RIN3 region,late_onset
DSG2,late_onset
INPP5D,late_onset
MEF2C,late_onset
NMEB,late_onset
ZCWPW1,late_onset
CELF1,late_onset
FERMT2,late_onset
CASS4,late_onset
HS3ST1,late_onset
SQSTM1,late_onset
TREML2,late_onset
NDUFAF6,late_onset
ECHDC3,late_onset
AP2A2,late_onset
ADAMST20,late_onset
IGH2,late_onset
SPPL2A,late_onset
TRIP4,late_onset
SCIMP,late_onset
ACE,late_onset
MARCH5,alzgene
SEPT3,alzgene
A2M,alzgene
A2MP,alzgene
ABCA1,alzgene
ABCA12,alzgene
ABCA2,alzgene
ABCA7,alzgene
ABCB1,alzgene
ABCC2,alzgene
ABCC8,alzgene
ABCC9,alzgene
ABCG1,alzgene
ABCG4,alzgene
ABCG5,alzgene
ACAD8,alzgene
ACAN,alzgene
ACAT2,alzgene
ACE,alzgene
ACF,alzgene
ACHE,alzgene
ACO2,alzgene
ACSL4,alzgene
ACTA2,alzgene
ADAM10,alzgene
ADAM12,alzgene
ADAM17,alzgene
ADAM9,alzgene
ADCYAP1R1,alzgene
ADORA2A,alzgene
ADORA2B,alzgene
ADRA1A,alzgene
ADRA2A,alzgene
ADRB1,alzgene
ADRB2,alzgene
ADRB3,alzgene
AGER,alzgene
AGPAT1,alzgene
AGT,alzgene
AHR,alzgene
AHSG,alzgene
AKAP8,alzgene
AKT2,alzgene
ALB,alzgene
ALDH18A1,alzgene
ALDH2,alzgene
ALOX5,alzgene
ALOX5AP,alzgene
ANK3,alzgene
ANXA8,alzgene
AP3M1,alzgene
APBA1,alzgene
APBB1,alzgene
APBB1IP,alzgene
APBB2,alzgene
APEX1,alzgene
APH1A,alzgene
APH1B,alzgene
APOA1,alzgene
APOA1BP,alzgene
APOA2,alzgene
APOA4,alzgene
APOA5,alzgene
APOB,alzgene
APOBEC1,alzgene
APOBEC2,alzgene
APOC1,alzgene
APOC1P1,alzgene
APOC2,alzgene
APOC3,alzgene
APOC4,alzgene
APOD,alzgene
APOE,alzgene
APOM,alzgene
APP,alzgene
AR,alzgene
ARID4A,alzgene
ARID5B,alzgene
ARL5B,alzgene
ARMS2,alzgene
ARSB,alzgene
ART3,alzgene
ATF7,alzgene
ATP6V0A4,alzgene
ATXN1,alzgene
ATXN8OS,alzgene
AVPR1A,alzgene
BACE1,alzgene
BACE2,alzgene
BAG3,alzgene
BAT1,alzgene
BCAM,alzgene
BCHE,alzgene
BCL2,alzgene
BCL3,alzgene
BCR,alzgene
BDNF,alzgene
BICC1,alzgene
BIN1,alzgene
BIRC3,alzgene
BLMH,alzgene
C10orf112,alzgene
C12orf41,alzgene
C1R,alzgene
C2,alzgene
C21orf55,alzgene
C21orf63,alzgene
C4A,alzgene
C4B,alzgene
CACNB2,alzgene
CALHM1,alzgene
CALHM2,alzgene
CALHM3,alzgene
CAMK1G,alzgene
CAMK2G,alzgene
CAND1,alzgene
CARD8,alzgene
CASP3,alzgene
CASP4,alzgene
CASP6,alzgene
CASP8,alzgene
CASS4,alzgene
CAST,alzgene
CAT,alzgene
CAV1,alzgene
CAV3,alzgene
CBLC,alzgene
CBS,alzgene
CCDC134,alzgene
CCL2,alzgene
CCL3,alzgene
CCL5,alzgene
CCL8,alzgene
CCNT1,alzgene
CCR2,alzgene
CCR5,alzgene
CD14,alzgene
CD2AP,alzgene
CD33,alzgene
CD36,alzgene
CD40,alzgene
CDC2,alzgene
CDK5,alzgene
CDK5R1,alzgene
CDKN2A,alzgene
CDKN2BAS,alzgene
CDX2,alzgene
CECR2,alzgene
CELF1,alzgene
CELF2,alzgene
CETP,alzgene
CFB,alzgene
CFH,alzgene
CH25H,alzgene
CHAT,alzgene
CHD4,alzgene
CHRFAM7A,alzgene
CHRM1,alzgene
CHRNA2,alzgene
CHRNA3,alzgene
CHRNA4,alzgene
CHRNA6,alzgene
CHRNA7,alzgene
CHRNB2,alzgene
CHRNB4,alzgene
CHST3,alzgene
CLCNKB,alzgene
CLPTM1,alzgene
CLU,alzgene
CNTF,alzgene
COG2,alzgene
COL11A1,alzgene
COL25A1,alzgene
COMT,alzgene
COX10,alzgene
COX15,alzgene
CPE,alzgene
CR1,alzgene
CRH,alzgene
CRHBP,alzgene
CRP,alzgene
CSF1,alzgene
CSK,alzgene
CSN1S1,alzgene
CST3,alzgene
CTSD,alzgene
CTSG,alzgene
CTSS,alzgene
CXCL1,alzgene
CXCL10,alzgene
CXCL12,alzgene
CYP17A1,alzgene
CYP19A1,alzgene
CYP1A1,alzgene
CYP2C19,alzgene
CYP2C8,alzgene
CYP2D6,alzgene
CYP39A1,alzgene
CYP46A1,alzgene
CYP4F3,alzgene
DAPK1,alzgene
DBH,alzgene
DFNB31,alzgene
DGKB,alzgene
DHCR24,alzgene
DKK1,alzgene
DLD,alzgene
DLST,alzgene
DNAJC12,alzgene
DNM2,alzgene
DNMBP,alzgene
DOPEY2,alzgene
DPYS,alzgene
DRD3,alzgene
DRD4,alzgene
DSC1,alzgene
DSG2,alzgene
DVL1,alzgene
DYRK1A,alzgene
EBF3,alzgene
EBP,alzgene
ECE1,alzgene
