TargetID	AVG_Signal-H9 hES cells repl1	BEAD_STDEV-H9 hES cells repl1	Detection-H9 hES cells repl1
GI_10047089-S	113.2	5	0.04387097
GI_10047091-S	147.4	6.4	0.7716129
GI_10047093-S	1571	60.1	1
GI_10047099-S	989.1	28.9	1
GI_10047103-S	3343.1	96.3	1
GI_10047105-S	142.1	7.3	0.65548387
GI_10047121-S	128.5	5	0.2683871
GI_10047123-S	930	24.3	1
GI_10047133-A	120.5	5.6	0.11225806
GI_10047133-I	152.5	6.4	0.84903226
GI_10092578-S	133.3	6.3	0.40129032
GI_10092585-S	230.6	8.8	0.99870968
GI_10092596-S	494.9	15.4	1
GI_10092600-S	1354.5	31.9	1
GI_10092602-S	127.7	7.7	0.25419355
GI_10092603-S	144.8	7.9	0.72258065
GI_10092611-A	472.3	10.4	1
GI_10092616-S	370.6	13.7	1
GI_10092618-S	844.9	24.8	1
GI_10092638-S	278	9.9	1
GI_10092658-S	213.7	6	0.99870968
GI_10092668-S	130.1	4.9	0.31096774
GI_10092672-S	1096	26.3	1
GI_10092690-S	215.5	8.9	0.99870968
GI_10190657-S	150.1	6.7	0.81935484
GI_10190665-I	147.4	10.1	0.7716129
GI_10190669-S	170.5	8.5	0.97935484
GI_10190671-S	157.3	9	0.90064516
GI_10190679-S	146.1	7.9	0.74709677
GI_10190681-S	178.2	7.5	0.99096774
GI_10190685-S	336.5	10.1	1
GI_10190687-S	132.5	5.6	0.38580645
GI_10190695-S	171.9	8.5	0.98451613
GI_10190697-S	120.4	5.1	0.11096774
GI_10190699-S	132	8	0.36774194
GI_10190701-S	721.3	18.4	1
GI_10190705-S	371.9	10	1
GI_10190709-S	132.4	6.3	0.37806452
GI_10190711-S	134.1	6.4	0.42709677
GI_10190741-S	157.7	8	0.90580645
GI_10190743-S	128.3	5.1	0.26580645
GI_10190745-S	1076.8	25.6	1
GI_10190747-S	154.9	8.3	0.87483871
GI_10198655-S	185.6	5.4	0.99741935
GI_10257436-S	117	4.6	0.07612903
GI_10280617-S	166.8	12.2	0.96387097
GI_10280625-S	197.1	8.7	0.99870968
GI_10337584-S	116.9	5	0.07354839
GI_10337586-S	132.4	6	0.37806452
GI_10337596-S	133.4	8.1	0.40387097
GI_10337606-S	664.8	30	1
GI_10337608-S	166.1	8.1	0.96129032
GI_10337610-S	156.3	6.2	0.89548387
GI_10346128-S	143.9	6.2	0.70064516
GI_10346134-S	636.7	21.1	1
GI_10440557-S	150.3	8	0.82451613
GI_10440561-S	172.1	5.9	0.98451613
GI_10440563-S	133.3	6.8	0.4
GI_10440565-S	152	8.2	0.84
GI_10442821-S	568	19.9	1
GI_10518496-S	258.2	13	1
GI_10518498-S	237.1	9.3	0.99870968
GI_10518499-S	149	6.2	0.79870968
GI_10518500-S	131.3	3.9	0.34451613
GI_10518501-I	130	6.4	0.30967742
GI_10518502-A	144.5	7.1	0.71870968
GI_10518504-I	120.3	6.6	0.11096774
GI_10518505-A	145.7	9.4	0.73677419
GI_10518505-I	230.6	11.6	0.99870968
GI_10518507-S	126.3	5.9	0.22451613
GI_10567815-I	149.6	6.4	0.80903226
GI_10567821-S	116.6	5.5	0.07225806
GI_10567823-S	133.4	8.1	0.40516129
GI_10645198-S	130	5	0.31096774
GI_10800141-S	147.5	5.6	0.77419355
GI_10800147-S	563.8	16	1
GI_10800407-S	145.5	5.9	0.73290323
GI_10800411-S	254.3	9.7	1
GI_10800413-S	1252.2	25.6	1
GI_10800414-S	139.7	5.6	0.59096774
GI_10800415-S	114.3	4.5	0.05548387
GI_10800416-S	468.8	13.9	1
GI_10800418-S	1017.8	26.5	1
GI_10801344-S	5330.5	122.7	1
GI_10834965-S	1162.3	20.4	1
GI_10834967-S	216.4	8.8	0.99870968
GI_10834979-S	120.4	6.6	0.11096774
GI_10834981-S	140.6	6.8	0.62064516
GI_10834983-S	107.1	5.5	0.01290323
GI_10834989-A	176.8	7.1	0.99096774
GI_10834999-S	155	6.4	0.87612903
GI_10835001-S	162.7	7.9	0.9483871
GI_10835009-S	522.1	13.9	1
GI_10835012-S	146.1	10.5	0.74709677
GI_10835020-S	191.5	6.3	0.99870968
GI_10835022-S	327	14.5	1
GI_10835024-S	4014.1	65.8	1
GI_10835040-S	123.3	5.8	0.16129032
GI_10835046-S	424.5	9.8	1
GI_10835048-S	6884.3	150	1
GI_10835070-S	152.3	7.5	0.84645161
GI_10835082-S	115.9	6.8	0.06451613
GI_10835084-S	257.8	10.2	1
GI_10835092-S	1147.5	28.9	1
GI_10835094-S	144.7	6.4	0.72
GI_10835100-S	906	30.5	1
GI_10835102-S	119.4	3.7	0.09806452
GI_10835118-S	413.6	11.2	1
GI_10835134-S	115.2	5.2	0.06193548
GI_10835138-S	139.7	4.9	0.59225806
GI_10835156-S	513.8	13.9	1
GI_10835158-S	134.7	6.9	0.43741935
GI_10835168-S	660.5	16.3	1
GI_10835170-S	171.7	7.6	0.98451613
GI_10835172-S	132.8	6.2	0.39096774
GI_10835174-S	114.2	6	0.05290323
GI_10835182-S	175.2	5.7	0.9883871
GI_10835186-S	2084	43.1	1
GI_10835188-S	1353	30.4	1
GI_10835196-S	123.9	6.2	0.16903226
GI_10835229-S	120.2	4.9	0.10580645
GI_10835235-S	161	6.5	0.94193548
GI_10835237-S	197.7	7.8	0.99870968
GI_10835241-S	122.7	5.5	0.15354839
GI_10835249-S	133.5	7.3	0.40645161
GI_10835253-S	141.4	6.8	0.63741935
GI_10862687-S	162.3	8.5	0.9483871
GI_10862688-S	170.2	5	0.97806452
GI_10862689-S	191.2	6.5	0.99870968
GI_10862690-S	470.9	15.2	1
GI_10862696-S	428.8	13.9	1
GI_10862697-S	384.2	11.6	1
GI_10863870-S	157.6	8	0.90193548
GI_10863872-S	114.5	5.6	0.05806452
GI_10863874-S	39398.9	685.7	1
GI_10863876-S	589.1	14.7	1
GI_10863878-S	1223.1	34.5	1
GI_10863884-S	139.7	6.8	0.59096774
GI_10863902-S	1510.2	30.7	1
GI_10863904-S	331.3	9.2	1
GI_10863908-S	880.8	22.3	1
GI_10863910-S	210.6	9.9	0.99870968
GI_10863912-S	150.1	6.5	0.82322581
GI_10863920-S	262.6	6.7	1
GI_10863922-S	1834.2	41.8	1
GI_10863934-S	271.6	8.1	1
GI_10863940-S	118.9	5.5	0.09290323
GI_10863942-S	456.2	13.9	1
GI_10863946-S	767	15.3	1
GI_10863950-S	369.4	8.8	1
GI_10863968-S	144.9	5.1	0.72258065
GI_10863972-S	157.3	10.5	0.90064516
GI_10863974-S	151.8	7.8	0.83741935
GI_10863982-S	145.2	7.9	0.7316129
GI_10863984-S	586.3	15.9	1
GI_10863992-S	120.6	5.6	0.11225806
GI_10863994-S	775.1	20.5	1
GI_10863996-S	779.1	18	1
GI_10863998-S	141.6	6.2	0.64258065
GI_10864008-I	1195.3	28.2	1
GI_10864010-S	188.8	8.7	0.99870968
GI_10864012-S	203.8	10.6	0.99870968
GI_10864016-S	996.9	30.4	1
GI_10864018-S	157	6.4	0.89935484
GI_10864022-S	985.4	22.6	1
GI_10864024-S	1250.1	34	1
GI_10864026-S	590	13.5	1
GI_10864030-S	1248.8	36.4	1
GI_10864032-S	150.8	6	0.82709677
GI_10864034-S	141.3	6.3	0.63612903
GI_10864036-S	111	6	0.0283871
GI_10864040-A	363.9	13.2	1
GI_10864040-I	374.7	10.4	1
GI_10864042-S	122.6	7.2	0.15225806
GI_10864046-S	305	9.8	1
GI_10864048-S	2942.1	68.6	1
GI_10864054-S	149.3	6.1	0.80258065
GI_10864056-S	142.9	6.2	0.67483871
GI_10864062-S	363.4	11	1
GI_10864068-S	269.4	8.6	1
GI_10864076-S	190.9	8.5	0.99870968
GI_10864080-S	111.6	6.6	0.03096774
GI_10864649-S	681.5	16.6	1
GI_10880123-A	291.9	10.5	1
GI_10880124-S	133.3	6	0.40129032
GI_10880125-S	140.8	5.7	0.62451613
GI_10880133-A	133.8	7.9	0.41548387
GI_10880974-S	377.7	13	1
GI_10880978-S	129.2	5.1	0.29290323
GI_10880984-S	126.2	4.4	0.22451613
GI_10938004-S	116.2	5.8	0.06709677
GI_10938005-S	260.4	11.1	1
GI_10938006-I	130.5	5.4	0.32
GI_10938009-A	501.4	10.9	1
GI_10938011-S	151.9	6.3	0.83870968
GI_10938012-S	434	13.7	1
GI_10938013-S	5342.6	126.9	1
GI_10938017-S	1778	49.5	1
GI_10938018-S	153.9	6.5	0.85935484
GI_10938019-S	129	6	0.28903226
GI_10938020-S	139	5.6	0.56774194
GI_10938021-S	2497.3	56.6	1
GI_10938022-S	135.3	7.2	0.45548387
GI_10947028-S	193.8	9.3	0.99870968
GI_10947029-S	116.8	5.2	0.07225806
GI_10947030-S	5484.2	141.2	1
GI_10947032-S	1044.9	22.7	1
GI_10947033-S	1892.8	48.3	1
GI_10947034-S	442.5	10	1
GI_10947049-A	129.2	5.2	0.29290323
GI_10947051-I	158.8	6.1	0.92
GI_10947053-A	215.2	6.5	0.99870968
GI_10947058-S	1178.7	33.2	1
GI_10947059-I	123.4	7.4	0.16387097
GI_10947062-S	134.6	5.7	0.43741935
GI_10947110-S	297.3	10	1
GI_10947121-I	135.4	8.8	0.46193548
GI_10947123-A	120.8	7.6	0.11483871
GI_10947125-S	837.3	19.8	1
GI_10947128-A	152.9	6.9	0.85290323
GI_10947130-I	164.8	5.4	0.95870968
GI_10947134-S	3231.5	60.3	1
GI_10947138-S	142.2	7	0.65677419
GI_11024640-S	127.7	4.9	0.25419355
GI_11024646-S	137.7	6.4	0.5316129
GI_11024685-S	1026.6	29.8	1
GI_11024693-S	294.5	8.8	1
GI_11024697-S	2353	67.4	1
GI_11024703-S	691.4	13.7	1
GI_11024711-S	138.6	7.1	0.55612903
GI_11034818-S	225.4	8.3	0.99870968
GI_11034834-I	235.3	7.8	0.99870968
GI_11034854-S	726.8	20.4	1
GI_11036631-S	139.9	4.9	0.60129032
GI_11036639-S	997.3	26.5	1
GI_11036645-S	3108.2	73.5	1
GI_11036647-S	130.8	10.7	0.33032258
GI_11036649-S	132.4	6.1	0.38064516
GI_11036657-S	144.1	6.4	0.70709677
GI_11036659-S	125.1	4.9	0.19870968
GI_11037054-S	256.2	8.5	1
GI_11037056-S	303.9	10.5	1
GI_11037060-A	1672.9	38.8	1
GI_11037060-I	119	5.4	0.09290323
GI_11037062-S	412.5	10.3	1
GI_11037064-S	289.5	8.4	1
GI_11038618-S	15663.3	425.8	1
GI_11038619-A	149.2	6.3	0.8
GI_11038623-S	657	25.8	1
GI_11038625-S	130.4	6.2	0.31870968
GI_11038626-I	106.5	4.2	0.01032258
GI_11038629-I	157.3	4.8	0.89935484
GI_11038636-I	124.6	5.8	0.18709677
GI_11038638-I	240.2	5.9	1
GI_11038640-A	341.6	11	1
GI_11038640-I	172.9	9.3	0.98580645
GI_11038642-A	8175.8	187.1	1
GI_11038644-I	3295.6	82.7	1
GI_11038645-S	1092.4	31.3	1
GI_11038647-S	1796.4	48.2	1
GI_11038650-S	1483.5	61	1
