Array Design Name	Illumina HumanRef-6 Expression BeadChip
Provider	Jack Zhu(zhujack@mail.nih.gov)
Comment[ArrayExpressAccession]	A-GEOD-7306
Comment[SecondaryAccession]	GPL7306
Comment[Description]	Array Manufacturer: Illumina Inc., Distribution: custom-commercial, Technology: oligonucleotide beads, The Sentrix Human-6 BeadChip can be used to study expression of over 47,000 human transcripts. Researchers can generate whole-genome expression profiles for 6 samples in parallel on a single BeadChip. Array is composed of 3 micron features with average feature redundancy of 30-fold . All features are QCed by sequential hybridizations process called array decoding. Probes are fully screened all-full-length 50-mers. Assay requires 50-100ng of total RNA input. Array content is based on RefSeq and additional space is occupied by targets selected from Unigene build 163 and Gnomon databases.<br>Reporter Database Entry [genbank] = RefSeq identifier LINK_PRE:http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?cmd=Search&db=Nucleotide&term=
Comment[SubmittedName]	Illumina HumanRef-6 Expression BeadChip
Comment[Organism]	Homo sapiens
Comment[ArrayExpressReleaseDate]	2011-05-12
Printing Protocol	http://www.illumina.com/technology/platform/tech_plat_arraymfg.ilmn
Surface Type	
Substrate Type	
Term Source Name	genbank

Reporter Name	Comment[Target]	Reporter Database Entry [genbank]	Comment[SPOT_ID]
1	GI_10047089-S	NM_014332.1	
2	GI_10047091-S	NM_013259.1	
3	GI_10047093-S	NM_016299.1	
4	GI_10047099-S	NM_016303.1	
5	GI_10047103-S	NM_016305.1	
6	GI_10047105-S	NM_016352.1	
7	GI_10047121-S	NM_018843.1	
8	GI_10047123-S	NM_018845.1	
9	GI_10047133-A	NM_020140.1	
10	GI_10047133-I	NM_020140.1	
11	GI_10092578-S	NM_002217.1	
12	GI_10092585-S	NM_007345.1	
13	GI_10092596-S	NM_020533.1	
14	GI_10092600-S	NM_003760.2	
15	GI_10092602-S	NM_006093.2	
16	GI_10092603-S	NM_020527.1	
17	GI_10092611-A	NM_016326.2	
18	GI_10092616-S	NM_020528.1	
19	GI_10092618-S	NM_020529.1	
20	GI_10092638-S	NM_016441.1	
21	GI_10092658-S	NM_019108.1	
22	GI_10092668-S	NM_019897.1	
23	GI_10092672-S	NM_020313.1	
24	GI_10092690-S	NM_014428.1	
25	GI_10190657-S	NM_018722.1	
26	GI_10190665-I	NM_020632.1	
27	GI_10190669-S	NM_020634.1	
28	GI_10190671-S	NM_020637.1	
29	GI_10190679-S	NM_020646.1	
30	GI_10190681-S	NM_020649.1	
31	GI_10190685-S	NM_020652.1	
32	GI_10190687-S	NM_020653.1	
33	GI_10190695-S	NM_020657.1	
34	GI_10190697-S	NM_020660.1	
35	GI_10190699-S	NM_020661.1	
36	GI_10190701-S	NM_020662.1	
37	GI_10190705-S	NM_020666.1	
38	GI_10190709-S	NM_020669.1	
39	GI_10190711-S	NM_020672.1	
40	GI_10190741-S	NM_020903.1	
41	GI_10190743-S	NM_020904.1	
42	GI_10190745-S	NM_020905.1	
43	GI_10190747-S	NM_020974.1	
44	GI_10198655-S	NM_020547.1	
45	GI_10257436-S	NM_020659.1	
46	GI_10280617-S	NM_001676.2	
47	GI_10280625-S	NM_020979.1	
48	GI_10337584-S	NM_021010.1	
49	GI_10337586-S	NM_020996.1	
50	GI_10337596-S	NM_021007.1	
51	GI_10337606-S	NM_021000.1	
52	GI_10337608-S	NM_020994.1	
53	GI_10337610-S	NM_020999.1	
54	GI_10346128-S	NM_018665.1	
55	GI_10346134-S	NM_014268.1	
56	GI_10440557-S	NM_021026.1	
57	GI_10440561-S	NM_021023.1	
58	GI_10440563-S	NM_021025.1	
59	GI_10440565-S	NM_021020.1	
60	GI_10442821-S	NM_016252.1	
61	GI_10518496-S	NM_005618.2	
62	GI_10518498-S	NM_007219.2	
63	GI_10518499-S	NM_001993.2	
64	GI_10518500-S	NM_000130.2	
65	GI_10518501-I	NM_000131.2	
66	GI_10518502-A	NM_019616.1	
67	GI_10518504-I	NM_000132.2	
68	GI_10518505-A	NM_019863.1	
69	GI_10518505-I	NM_019863.1	
70	GI_10518507-S	NM_000133.2	
71	GI_10567815-I	NM_020988.1	
72	GI_10567821-S	NM_021047.1	
73	GI_10567823-S	NM_021046.1	
74	GI_10645198-S	NM_014272.1	
75	GI_10800141-S	NM_021057.1	
76	GI_10800147-S	NM_021067.1	
77	GI_10800407-S	NM_000735.2	
78	GI_10800411-S	NM_012326.2	
79	GI_10800413-S	NM_006918.2	
80	GI_10800414-S	NM_002487.2	
81	GI_10800415-S	NM_003469.2	
82	GI_10800416-S	NM_006768.2	
83	GI_10800418-S	NM_001275.2	
84	GI_10801344-S	NM_013234.1	
85	GI_10834965-S	NM_000404.1	
86	GI_10834967-S	NM_000528.1	
87	GI_10834979-S	NM_000590.1	
88	GI_10834981-S	NM_000599.1	
89	GI_10834983-S	NM_000600.1	
90	GI_10834989-A	NM_000615.1	
91	GI_10834999-S	NM_000936.1	
92	GI_10835001-S	NM_001175.1	
93	GI_10835009-S	NM_001331.1	
94	GI_10835012-S	NM_001437.1	
95	GI_10835020-S	NM_001552.1	
96	GI_10835022-S	NM_002222.1	
97	GI_10835024-S	NM_021074.1	
98	GI_10835040-S	NM_003455.1	
99	GI_10835046-S	NM_003919.1	
100	GI_10835048-S	NM_001664.1	
101	GI_10835070-S	NM_004355.1	
102	GI_10835082-S	NM_000330.1	
103	GI_10835084-S	NM_005951.1	
104	GI_10835092-S	NM_006607.1	
105	GI_10835094-S	NM_006512.1	
106	GI_10835100-S	NM_021078.1	
107	GI_10835102-S	NM_021068.1	
108	GI_10835118-S	NM_000259.1	
109	GI_10835134-S	NM_000567.1	
110	GI_10835138-S	NM_000570.1	
111	GI_10835156-S	NM_000597.1	
112	GI_10835158-S	NM_000602.1	
113	GI_10835168-S	NM_000617.1	
114	GI_10835170-S	NM_000619.1	
115	GI_10835172-S	NM_000620.1	
116	GI_10835174-S	NM_000621.1	
117	GI_10835182-S	NM_000629.1	
118	GI_10835186-S	NM_000636.1	
119	GI_10835188-S	NM_000637.1	
120	GI_10835196-S	NM_000866.1	
121	GI_10835229-S	NM_005950.1	
122	GI_10835235-S	NM_005987.1	
123	GI_10835237-S	NM_006435.1	
124	GI_10835241-S	NM_006258.1	
125	GI_10835249-S	NM_006508.1	
126	GI_10835253-S	NM_006518.1	
127	GI_10862687-S	NM_004690.2	
128	GI_10862688-S	NM_012082.2	
129	GI_10862689-S	NM_005570.2	
130	GI_10862690-S	NM_001105.2	
131	GI_10862696-S	NM_001616.2	
132	GI_10862697-S	NM_001106.2	
133	GI_10863870-S	NM_000540.1	
134	GI_10863872-S	NM_000660.1	
135	GI_10863874-S	NM_021104.1	
136	GI_10863876-S	NM_021105.1	
137	GI_10863878-S	NM_021095.1	
138	GI_10863884-S	NM_004348.1	
139	GI_10863902-S	NM_004238.1	
140	GI_10863904-S	NM_004239.1	
141	GI_10863908-S	NM_021102.1	
142	GI_10863910-S	NM_021114.1	
143	GI_10863912-S	NM_021097.1	
144	GI_10863920-S	NM_021120.1	
145	GI_10863922-S	NM_021127.1	
146	GI_10863934-S	NM_021136.1	
147	GI_10863940-S	NM_021139.1	
148	GI_10863942-S	NM_021140.1	
149	GI_10863946-S	NM_021145.1	
150	GI_10863950-S	NM_021147.1	
151	GI_10863968-S	NM_021173.1	
152	GI_10863972-S	NM_021175.1	
153	GI_10863974-S	NM_021176.1	
154	GI_10863982-S	NM_021182.1	
155	GI_10863984-S	NM_021184.1	
156	GI_10863992-S	NM_021187.1	
157	GI_10863994-S	NM_021188.1	
